title	type	year	author	country	seen
Emerging Infectious Literatures and the Zombie Condition	academic	2018	Joanna Verran, Xavier Aldana	uk	no
Summer reading: Medicine, psychoanalysis and the zombie apocalypse in comic books.	academic	2018	Leslie Citrome	usa	no
The undead in culture and science	academic	2018	Connie Nugent, Gilbert Berdine, Kenneth Nugent	usa	no
Zombie materials	academic	2018	Phillip Ball	uk	no
"""Zombie"" Outbreak Caused by Synthetic Cannabinoid"	academic	2017	Feng-Shuo Yang, Chao-Ju Chen, Yi-Ching Lin	china	no
Concerns With Entertainment-Education: Zombie Pandemic Preparedness and the Unanticipated Promotion of a Weapons Culture.	academic	2017	Frank Houghton, Jeremy Toms, Ghazal Meratnia	usa	no
Living With Zombies: Society in Apocalypse in Film, Literature and Other Media (Contributions to Zombie Studies) 	academic	2017	Chase Pielak, Alexander H. Cohen	usa	no
Real life zombie apocalypse in New York City	academic	2017	Jonathan Mark Brown	usa	no
Social death, melancholia, and zombies: Same patterns?	academic	2017	Philippe Charlier, Saudamini Deo, J. Hassin, Christian Herve	france	no
The metaphorical zombie A Review of Zombie Theory: A Reader edited by Sarah Juliet Lauro	academic	2017	Paul Dougherty	usa	no
Zombie issues in ophthalmology	academic	2017	Nick Mamalis	usa	no
Are We the Walking Dead? Burnout as Zombie Apocalypse	academic	2016	Benjamin R. Doolittle	usa	no
David Mechanic: Professional Zombie Hunter	academic	2016	Frederic W. Hafferty, Jon Tilburt	usa	no
Defence of the Living Dead: zombies as vectors for transmitting positive health messages	academic	2016	Raja Ragupathy	new zealand	no
How a Wasp Turns Cockroaches into Zombies	academic	2016	Christie Wilcox	usa	no
Zombie Neuroscience	academic	2016	Christie Wilcox	usa	no
Zombie pandemic preparedness: a cautionary observation.	academic	2016	Frank Houghton, Katie Del Monte, Daniel Glessner, Joyce Goff, Edward Hopkins, Krista Loney, Ghazal Meratnia, Jeremy Toms	usa	no
"Pharmacy and the ""Zombie Apocalypse"""	academic	2015	Danial E. Baker	usa	no
The Neuroscience of Zombies	academic	2015	Neuro Transmissions	usa	no
Do Zombies Dream of Undead Sheep?: A Neuroscientific View of the Zombie Brain	academic	2014	Timothy Verstynen, Bradley Voytek	usa	no
Theories of International Politics and Zombies	academic	2014	Daniel W. Drezner	usa	no
Zombie neuroscience: Shane O'Mara at TEDxDublin	academic	2013	Shane O'Mara	ireland	no
Zombies in the Academy	academic	2013	Adrew Whelan, Ruth Walker, Christopher Moore	uk	no
Diagnosing a zombie: Brain and body (Part one)	academic	2012	Timothy Verstynen, Bradley Voytek	usa	no
The Walking Dead: Apocalipsis Zombi Ya	academic	2012	various	spain	no
Zombies vs. Cheerleaders	comic	2015	Richard Toquet	usa	no
George Romero's Empire of the Dead: Act One	comic	2014	George A. Romero	usa	no
Revival	comic	2012	Tim Seeley	NA	no
28 Days Later	comic	2011	Michael Alan Nelson	usa	no
Dead World	comic	2011	Gary Reed, Mike Raicht	usa	no
Highschool of the Dead	comic	2011	Daisuke Sato, Shouji Sato	japan	no
Night of the Living Death: Death Valley	comic	2011	Mike Wolfer	NA	no
Resident Evil	comic	2011	Ricardo Sanchez	usa	no
Star Trek: Infestation	comic	2011	David Tipton	usa	no
iZombie	comic	2010	Chris Roberson, Laura Allred	usa	no
Victorian Undead	comic	2010	Ian Edginton	uk	no
Awakening	comic	2009	Nick Tapalansky	NA	no
I Am a Hero	comic	2009	Kengo Hanazawa	japan	no
Jesus Hates Zombies featuring Lincoln Hates Werewolves	comic	2009	Stephen Lindsay	usa	no
Transformers: Best of UK: City of Fear	comic	2009	Simon Furman	usa	no
Children of the Grave	comic	2008	Tom Waltz	usa	no
Crawl Space	comic	2008	Rick Remember, Tony Moore	usa	no
Dark 48	comic	2008	Steve O'Connel	NA	no
